"customers_t_customerID","products_t_productid","quantity"
31791,59,4
41092,145,1
216,159,3
20063,179,3
34112,247,2
34804,220,3
28890,97,2
25381,92,3
5721,41,3
15364,233,5
49868,300,1
8981,177,3
31708,69,4
30945,23,4
46809,104,3
28713,288,5
32351,41,1
29730,215,1
34623,235,1
22938,56,4
37284,101,5
2481,79,1
6327,109,3
25565,147,1
14438,261,1
22506,159,1
25583,159,4
4852,300,2
23061,260,2
39356,188,2
3902,65,1
42532,201,2
46142,44,4
26230,89,3
38624,104,4
38263,137,3
17204,95,2
12278,195,4
32143,44,4
19862,104,3
39690,123,4
48816,292,1
2915,260,5
43147,257,4
6774,179,4
45516,265,3
19769,207,2
11410,49,5
9699,269,1
15119,283,4
10810,108,4
18902,257,4
28694,197,1
18896,56,2
37737,76,4
42440,300,1
17833,153,1
40233,75,2
40803,193,2
39885,128,2
5731,199,1
15181,93,1
37708,101,4
20724,145,4
42272,100,5
32303,259,5
36868,257,4
12048,256,3
23560,84,2
31936,275,3
47180,12,3
8271,293,3
32332,89,3
16852,140,5
46706,17,2
39799,165,2
13261,155,2
12587,215,5
6423,296,2
525,175,1
45405,24,1
19218,76,4
25259,89,1
14350,188,4
41216,4,4
36135,280,1
27550,75,3
46215,192,2
38172,97,3
5074,191,5
47265,24,1
4562,68,5
39045,203,1
23956,207,4
18427,240,4
2229,161,1
41212,25,2
39645,261,5
40451,156,3
31311,28,5
19332,56,5
27951,123,3
31672,72,2
30136,300,3
34276,81,3
18421,37,1
35370,191,2
35178,8,2
28736,127,5
39874,36,4
16207,251,5
45400,28,5
9448,13,5
27513,172,3
8478,168,4
25015,193,3
31597,168,5
49571,68,5
35189,52,4
36958,173,1
34565,212,1
4968,180,3
5692,151,4
24922,235,5
26324,33,5
46210,111,4
21431,273,4
26300,199,2
40297,96,3
18206,13,2
32779,151,2
32360,156,4
21546,248,3
20280,176,1
40718,237,5
46585,27,4
3629,165,4
38125,131,1
15162,87,5
1392,88,3
49149,56,1
35587,157,5
23531,209,1
10744,149,4
49473,201,5
4134,293,3
3468,237,1
3757,123,4
10667,229,3
27258,285,3
30844,55,1
7599,53,1
4307,213,2
151,273,3
11579,41,4
1533,123,3
13312,17,2
9189,187,4
32899,237,2
46040,229,4
12065,51,1
14129,143,1
42434,175,2
41912,215,1
40265,137,1
22269,249,2
19055,7,1
31844,117,5
38693,147,5
20866,9,4
35020,73,2
41672,284,2
48098,160,3
14439,155,4
39435,272,1
22701,164,3
4447,67,5
29875,279,1
31028,153,2
16938,89,3
10478,80,5
38553,117,4
1894,204,2
24106,96,1
3915,51,3
30516,96,4
7317,196,3
3820,27,5
4573,3,3
47213,184,1
38783,235,1
38206,47,4
40823,29,4
44065,187,2
39255,111,3
41566,140,5
2372,195,5
15903,221,2
28218,143,3
6090,4,2
21186,4,4
15581,112,1
25208,135,4
31418,269,3
11797,207,1
11491,121,1
23827,135,4
22818,299,3
43304,184,3
2639,169,3
11597,208,1
21678,147,3
14634,105,2
40060,28,3
38730,83,2
34967,205,2
37184,153,4
22720,23,4
15369,216,2
22641,125,3
9064,201,5
16238,241,4
18774,269,5
20371,224,1
11798,93,5
15408,4,3
13374,127,5
33783,55,2
2036,179,1
16257,104,5
28330,252,2
23640,284,2
19112,13,3
20845,184,5
47388,260,4
20068,232,5
42759,251,2
5735,55,1
30403,9,1
23280,52,1
44805,200,2
38262,89,1
14435,93,4
45946,229,3
33778,13,3
14360,113,1
36333,204,2
48387,296,1
14803,56,4
26592,67,1
29563,100,3
24706,133,4
7996,112,1
7318,9,4
45530,284,2
12465,85,2
18791,85,1
49830,213,3
16949,175,1
43700,19,2
39206,88,2
45293,109,4
25867,15,5
1621,144,4
41719,135,4
13650,117,3
34482,105,3
16801,284,3
2442,221,2
38654,269,4
41661,95,5
1182,128,1
43401,195,1
31643,17,2
36029,259,4
32759,277,5
45118,169,1
17384,176,3
22262,123,4
15083,289,5
34806,196,4
34546,289,5
43202,29,1
2809,209,4
10729,79,3
46413,51,1
44855,8,5
42660,11,4
906,240,2
39798,88,3
6541,61,1
27140,77,4
47616,164,5
16625,125,1
20139,295,5
26822,299,3
28063,32,5
21742,205,1
33296,141,1
21492,201,4
24597,235,4
7115,133,1
1520,135,3
42504,289,3
37003,199,3
19082,177,5
6424,247,4
43020,17,3
19726,48,3
2568,283,1
19222,247,4
37447,176,3
37455,17,3
24102,81,2
16858,213,4
39912,75,1
31270,240,4
20882,121,4
47794,208,4
46847,16,1
25066,16,2
43936,85,4
39019,212,3
32946,47,4
41111,153,3
16134,61,5
17234,92,2
5598,205,5
41248,283,5
23137,252,1
39696,179,3
21918,61,2
24894,269,2
29530,21,5
20574,75,4
32228,245,4
4798,3,5
21112,20,5
28224,183,5
44233,265,1
22903,248,1
35879,269,1
22791,192,2
6458,268,4
41934,92,3
35859,104,3
27377,263,5
46679,29,2
22596,181,1
35784,264,3
26009,83,4
37189,204,5
15476,244,5
24282,233,4
33934,111,5
32377,23,1
18415,221,3
19545,155,1
2095,285,5
14772,172,4
5753,283,2
5999,225,5
44066,297,3
45589,32,2
31811,99,1
43432,209,2
21203,239,4
29437,211,5
13531,140,3
24906,181,1
3815,47,4
15593,211,3
3926,48,4
10998,216,2
47882,196,3
41359,196,4
27235,280,5
19737,11,3
43219,132,3
5534,207,5
23005,127,2
24368,132,5
26282,129,2
5221,292,2
11362,125,1
7404,83,1
42571,247,4
16110,31,3
458,228,4
4145,7,3
41508,175,3
8189,33,2
45221,152,3
40372,64,5
39163,217,1
39723,260,3
46765,23,2
16765,115,1
48188,193,4
45935,205,2
31892,232,5
19344,160,1
3497,279,4
32197,228,1
9803,229,5
11449,119,5
34046,213,1
12570,160,1
8392,241,5
41273,264,4
8881,19,1
49978,87,1
