"InventoryID","quantity","Products_T_ProductID"
1,1116,1
2,576,2
3,133,3
4,992,4
5,1294,5
6,1426,6
7,1530,7
8,1819,8
9,1964,9
10,1869,10
11,418,11
12,703,12
13,1916,13
14,1540,14
15,671,15
16,200,16
17,178,17
18,702,18
19,453,19
20,81,20
21,1626,21
22,1033,22
23,930,23
24,487,24
25,613,25
26,1458,26
27,1814,27
28,1920,28
29,1494,29
30,848,30
31,266,31
32,836,32
33,1047,33
34,1072,34
35,1970,35
36,45,36
37,262,37
38,1005,38
39,64,39
40,508,40
41,870,41
42,466,42
43,962,43
44,1158,44
45,1235,45
46,717,46
47,1966,47
48,638,48
49,1799,49
50,1580,50
51,1748,51
52,1194,52
53,68,53
54,395,54
55,1240,55
56,550,56
57,259,57
58,1061,58
59,419,59
60,255,60
61,2000,61
62,35,62
63,1217,63
64,1282,64
65,659,65
66,355,66
67,487,67
68,1830,68
69,67,69
70,1196,70
71,570,71
72,1441,72
73,30,73
74,1677,74
75,977,75
76,32,76
77,133,77
78,1669,78
79,2024,79
80,1676,80
81,225,81
82,1639,82
83,1301,83
84,891,84
85,1903,85
86,1540,86
87,1694,87
88,1403,88
89,883,89
90,272,90
91,505,91
92,874,92
93,1634,93
94,362,94
95,1690,95
96,1318,96
97,880,97
98,109,98
99,364,99
100,435,100
101,332,101
102,1866,102
103,129,103
104,385,104
105,1674,105
106,847,106
107,46,107
108,673,108
109,1817,109
110,633,110
111,310,111
112,890,112
113,1520,113
114,463,114
115,110,115
116,431,116
117,1160,117
118,1717,118
119,1577,119
120,1762,120
121,1488,121
122,1680,122
123,737,123
124,1006,124
125,1107,125
126,537,126
127,811,127
128,1875,128
129,1873,129
130,1032,130
131,234,131
132,1715,132
133,1006,133
134,156,134
135,787,135
136,76,136
137,274,137
138,393,138
139,882,139
140,502,140
141,368,141
142,856,142
143,254,143
144,1302,144
145,1110,145
146,714,146
147,1201,147
148,1666,148
149,713,149
150,170,150
151,765,151
152,81,152
153,1172,153
154,1870,154
155,1220,155
156,225,156
157,754,157
158,1309,158
159,876,159
160,1470,160
161,1270,161
162,55,162
163,750,163
164,1759,164
165,447,165
166,13,166
167,765,167
168,424,168
169,1401,169
170,2028,170
171,1475,171
172,607,172
173,1022,173
174,1781,174
175,264,175
176,423,176
177,629,177
178,1467,178
179,1779,179
180,546,180
181,906,181
182,1530,182
183,1946,183
184,694,184
185,890,185
186,1312,186
187,1720,187
188,2009,188
189,1961,189
190,223,190
191,780,191
192,14,192
193,642,193
194,305,194
195,714,195
196,1873,196
197,1541,197
198,376,198
199,1994,199
200,963,200
201,1660,201
202,73,202
203,1511,203
204,1163,204
205,366,205
206,1031,206
207,16,207
208,479,208
209,1523,209
210,1148,210
211,1338,211
212,1782,212
213,460,213
214,615,214
215,218,215
216,260,216
217,141,217
218,1035,218
219,954,219
220,517,220
221,501,221
222,1610,222
223,707,223
224,1793,224
225,690,225
226,1196,226
227,1628,227
228,963,228
229,1814,229
230,851,230
231,2007,231
232,411,232
233,410,233
234,1365,234
235,329,235
236,1417,236
237,1494,237
238,1218,238
239,1638,239
240,793,240
241,1466,241
242,1964,242
243,1438,243
244,181,244
245,1268,245
246,618,246
247,1463,247
248,642,248
249,1272,249
250,1360,250
251,870,251
252,1734,252
253,939,253
254,137,254
255,194,255
256,1575,256
257,1943,257
258,651,258
259,1440,259
260,31,260
261,1741,261
262,800,262
263,1675,263
264,722,264
265,203,265
266,1474,266
267,1155,267
268,66,268
269,624,269
270,1660,270
271,24,271
272,1777,272
273,17,273
274,1502,274
275,1617,275
276,1489,276
277,513,277
278,1625,278
279,1206,279
280,672,280
281,407,281
282,1860,282
283,1851,283
284,966,284
285,1870,285
286,671,286
287,1419,287
288,210,288
289,532,289
290,178,290
291,135,291
292,2026,292
293,1870,293
294,289,294
295,1149,295
296,829,296
297,1561,297
298,1855,298
299,1338,299
300,1310,300
