<<<<<<< HEAD
"CartLineID","Customers_T_CustomerID","Products_T_ProductID","Quantity"
3,37799,135676,196
2,19230,424825,139
2,39513,9396,63
3,45568,423820,15
4,48792,338600,279
5,32609,405438,7
4,13643,309394,184
2,31158,134753,200
5,9393,387672,108
4,49871,303326,215
1,14192,348643,15
4,30038,389955,136
3,47699,379160,51
3,43206,412435,221
5,1872,476372,173
4,41176,364735,279
4,42232,57790,147
4,30638,280447,201
5,28217,312799,117
5,25514,105929,135
4,13989,196890,44
2,35924,451881,124
5,15522,198014,180
1,31246,4942,245
1,31960,388672,117
1,19858,209570,244
4,30894,444790,19
2,34260,368764,44
1,14171,47281,203
5,29065,494598,13
4,43128,195147,92
3,7159,234979,91
4,34310,397235,43
5,7727,107593,29
5,34200,398491,291
2,24416,349539,148
3,16513,117419,128
3,35933,20024,29
4,37805,400564,131
1,49214,100593,259
5,36656,158880,87
5,9959,457739,75
3,40771,418911,140
3,32651,84345,113
5,24683,235150,9
2,1887,55328,147
5,6443,458007,125
1,23600,366973,109
1,24561,230028,80
4,37740,298446,68
4,41112,186854,153
2,5032,53426,197
1,48941,205683,37
3,45200,54931,75
5,21790,433914,33
5,11019,192729,168
5,13926,43459,116
2,31909,268043,245
5,2070,198630,164
4,11038,410060,67
3,19642,50894,131
2,38062,38935,216
2,8755,21891,159
1,14464,75032,229
5,8362,354692,181
2,43672,30870,175
5,36656,248115,271
5,41017,260159,276
5,31288,59414,21
5,22483,360446,135
4,34542,364051,119
1,37008,378367,32
2,39062,461557,89
1,41230,309427,9
4,8436,197475,104
2,29932,312493,23
2,4444,320598,147
3,8141,158261,51
4,42444,316800,223
4,39301,109642,181
2,26151,131934,67
3,12456,142006,3
1,5543,2966,197
4,36584,499093,249
4,8652,280253,165
1,30118,283769,264
1,25301,98117,192
4,44534,495022,289
4,13391,440394,56
3,19434,257582,95
3,47075,337409,269
5,8567,145436,64
3,23606,284752,69
5,12040,224374,273
1,38502,193500,44
2,18425,161484,177
4,41607,4388,89
3,40409,470947,169
5,13093,269910,120
2,14068,297247,125
4,8310,293166,76
2,6931,144656,125
3,6217,398194,137
1,39561,420599,128
2,2625,277326,191
5,14978,275144,37
3,6233,74015,195
2,12479,290591,151
4,24660,86173,284
1,16717,265414,41
2,6185,488028,231
5,10587,269874,140
3,49669,198522,176
4,27301,251745,21
4,15702,201856,64
3,16888,374678,233
4,19475,258571,267
5,44682,395748,73
2,34513,163893,21
4,46661,395351,269
2,27289,450957,160
5,23589,494096,135
3,10490,99731,216
2,5893,37960,161
4,46761,481412,260
4,40981,332480,225
1,48583,190512,229
4,9870,344129,92
5,2110,218873,243
1,37855,309239,193
1,11284,432286,48
5,41835,318444,209
5,9358,52929,103
3,44818,342820,181
1,39602,256482,57
2,31613,142795,205
3,9966,495794,40
2,38093,392513,123
4,21718,78768,223
2,47724,169859,57
2,42035,204579,175
5,1478,451068,208
1,34217,152296,109
1,11849,489675,51
1,799,479874,276
5,29788,132368,225
3,46001,61881,284
4,6997,180233,169
4,31132,478643,249
4,808,412897,139
5,32062,40459,128
3,45829,344277,225
5,17065,375157,99
4,32384,448287,52
4,28597,216859,60
5,24924,374580,121
3,11366,438812,115
4,42033,313835,231
3,38186,281556,13
4,48410,99355,216
2,33209,36343,43
1,15248,368809,180
2,47134,304087,153
4,22810,113727,41
2,21356,89151,128
4,2879,344853,201
4,11630,182899,139
3,12502,208146,91
2,7888,444348,92
3,20598,24849,219
2,34950,464762,81
4,40581,403001,32
5,43140,178999,103
2,19202,63400,127
1,16743,281475,240
1,31931,193005,207
5,15322,234435,3
3,9637,140560,67
2,6281,169213,71
4,22672,376481,49
4,2492,159914,143
2,12724,86232,109
3,14933,127073,288
3,48040,60291,235
2,33845,498778,225
2,1920,419909,155
1,5481,118805,44
1,5238,439623,284
4,15053,286006,28
2,42957,490366,56
3,36827,347153,160
3,4117,354645,163
3,17852,12352,260
4,7884,171894,253
4,37413,62802,265
5,22894,357478,139
4,44811,302140,9
2,9937,203871,261
3,22511,229709,288
2,11087,450981,137
3,18258,28827,163
1,15049,339746,136
3,37626,297668,296
2,5892,376376,236
3,24327,196880,164
5,1906,222227,209
2,21254,131672,256
3,10727,298241,104
5,27956,420209,124
5,17362,219103,291
3,13998,115569,73
5,32686,490337,248
1,39464,39857,193
3,13200,13877,240
2,37743,43318,93
1,12457,443259,171
4,3001,190544,268
3,24502,39004,284
1,21635,177750,200
4,5679,482785,121
1,26558,200349,192
4,9257,230308,281
1,26292,203665,269
4,41871,424251,221
4,14360,362559,208
2,9029,43749,133
4,40401,188852,137
2,6187,307107,139
5,44713,78710,201
2,49132,32870,79
1,2314,307111,188
1,25381,197131,244
4,46895,392859,177
1,6040,463054,136
4,11972,469040,240
2,21608,328171,39
3,33874,95994,199
1,13008,279972,245
5,19444,119270,77
2,47177,20283,233
2,49036,487531,128
3,33440,84860,165
5,47398,347090,240
1,36701,37150,13
5,45234,294181,89
1,34785,442520,275
5,37904,428773,28
2,7234,358465,65
5,24927,128652,233
4,29446,227584,77
3,29144,146591,27
1,29994,166079,260
3,7479,16522,275
5,2377,210965,183
5,28722,380149,36
3,35442,238906,29
4,2758,23873,175
3,48309,455012,103
