"FrameTypeID","FrameColorDescription","FrameShapeDescription"
1,"Air Superiority Blue","Cat Eye"
2,"Air Superiority Blue","Aviator"
3,"Air Superiority Blue","Rimless"
4,"Air Superiority Blue","Oval"
5,"Air Superiority Blue","Sport"
6,"Alabama Crimson","Cat Eye"
7,"Alabama Crimson","Aviator"
8,"Alabama Crimson","Rimless"
9,"Alabama Crimson","Oval"
10,"Alabama Crimson","Sport"
11,"Alice Blue","Cat Eye"
12,"Alice Blue","Aviator"
13,"Alice Blue","Rimless"
14,"Alice Blue","Oval"
15,"Alice Blue","Sport"
16,"Alizarin Crimson","Cat Eye"
17,"Alizarin Crimson","Aviator"
18,"Alizarin Crimson","Rimless"
19,"Alizarin Crimson","Oval"
20,"Alizarin Crimson","Sport"
21,"Alloy Orange","Cat Eye"
22,"Alloy Orange","Aviator"
23,"Alloy Orange","Rimless"
24,"Alloy Orange","Oval"
25,"Alloy Orange","Sport"
26,"Almond","Cat Eye"
27,"Almond","Aviator"
28,"Almond","Rimless"
29,"Almond","Oval"
30,"Almond","Sport"
31,"Amaranth","Cat Eye"
32,"Amaranth","Aviator"
33,"Amaranth","Rimless"
34,"Amaranth","Oval"
35,"Amaranth","Sport"
36,"Amber","Cat Eye"
37,"Amber","Aviator"
38,"Amber","Rimless"
39,"Amber","Oval"
40,"Amber","Sport"
41,"American Rose","Cat Eye"
42,"American Rose","Aviator"
43,"American Rose","Rimless"
44,"American Rose","Oval"
45,"American Rose","Sport"
46,"Amethyst","Cat Eye"
47,"Amethyst","Aviator"
48,"Amethyst","Rimless"
49,"Amethyst","Oval"
50,"Amethyst","Sport"
51,"Android Green","Cat Eye"
52,"Android Green","Aviator"
53,"Android Green","Rimless"
54,"Android Green","Oval"
55,"Android Green","Sport"
56,"Anti-Flash White","Cat Eye"
57,"Anti-Flash White","Aviator"
58,"Anti-Flash White","Rimless"
59,"Anti-Flash White","Oval"
60,"Anti-Flash White","Sport"
61,"Antique Brass","Cat Eye"
62,"Antique Brass","Aviator"
63,"Antique Brass","Rimless"
64,"Antique Brass","Oval"
65,"Antique Brass","Sport"
66,"Antique Fuchsia","Cat Eye"
67,"Antique Fuchsia","Aviator"
68,"Antique Fuchsia","Rimless"
69,"Antique Fuchsia","Oval"
70,"Antique Fuchsia","Sport"
71,"Antique Ruby","Cat Eye"
72,"Antique Ruby","Aviator"
73,"Antique Ruby","Rimless"
74,"Antique Ruby","Oval"
75,"Antique Ruby","Sport"
76,"Antique White","Cat Eye"
77,"Antique White","Aviator"
78,"Antique White","Rimless"
79,"Antique White","Oval"
80,"Antique White","Sport"
81,"Apple Green","Cat Eye"
82,"Apple Green","Aviator"
83,"Apple Green","Rimless"
84,"Apple Green","Oval"
85,"Apple Green","Sport"
86,"Apricot","Cat Eye"
87,"Apricot","Aviator"
88,"Apricot","Rimless"
89,"Apricot","Oval"
90,"Apricot","Sport"
91,"Aqua","Cat Eye"
92,"Aqua","Aviator"
93,"Aqua","Rimless"
94,"Aqua","Oval"
95,"Aqua","Sport"
96,"Aquamarine","Cat Eye"
97,"Aquamarine","Aviator"
98,"Aquamarine","Rimless"
99,"Aquamarine","Oval"
100,"Aquamarine","Sport"
101,"Army Green","Cat Eye"
102,"Army Green","Aviator"
103,"Army Green","Rimless"
104,"Army Green","Oval"
105,"Army Green","Sport"
106,"Arsenic","Cat Eye"
107,"Arsenic","Aviator"
108,"Arsenic","Rimless"
109,"Arsenic","Oval"
110,"Arsenic","Sport"
111,"Arylide Yellow","Cat Eye"
112,"Arylide Yellow","Aviator"
113,"Arylide Yellow","Rimless"
114,"Arylide Yellow","Oval"
115,"Arylide Yellow","Sport"
116,"Ash Grey","Cat Eye"
117,"Ash Grey","Aviator"
118,"Ash Grey","Rimless"
119,"Ash Grey","Oval"
120,"Ash Grey","Sport"
121,"Asparagus","Cat Eye"
122,"Asparagus","Aviator"
123,"Asparagus","Rimless"
124,"Asparagus","Oval"
125,"Asparagus","Sport"
126,"Atomic Tangerine","Cat Eye"
127,"Atomic Tangerine","Aviator"
128,"Atomic Tangerine","Rimless"
129,"Atomic Tangerine","Oval"
130,"Atomic Tangerine","Sport"
131,"Auburn","Cat Eye"
132,"Auburn","Aviator"
133,"Auburn","Rimless"
134,"Auburn","Oval"
135,"Auburn","Sport"
136,"Aureolin","Cat Eye"
137,"Aureolin","Aviator"
138,"Aureolin","Rimless"
139,"Aureolin","Oval"
140,"Aureolin","Sport"
141,"Aurometalsaurus","Cat Eye"
142,"Aurometalsaurus","Aviator"
143,"Aurometalsaurus","Rimless"
144,"Aurometalsaurus","Oval"
145,"Aurometalsaurus","Sport"
146,"Avocado","Cat Eye"
147,"Avocado","Aviator"
148,"Avocado","Rimless"
149,"Avocado","Oval"
150,"Avocado","Sport"
151,"Azure","Cat Eye"
152,"Azure","Aviator"
153,"Azure","Rimless"
154,"Azure","Oval"
155,"Azure","Sport"
156,"Azure Mist/Web","Cat Eye"
157,"Azure Mist/Web","Aviator"
158,"Azure Mist/Web","Rimless"
159,"Azure Mist/Web","Oval"
160,"Azure Mist/Web","Sport"
161,"Baby Blue","Cat Eye"
162,"Baby Blue","Aviator"
163,"Baby Blue","Rimless"
164,"Baby Blue","Oval"
165,"Baby Blue","Sport"
166,"Baby Blue Eyes","Cat Eye"
167,"Baby Blue Eyes","Aviator"
168,"Baby Blue Eyes","Rimless"
169,"Baby Blue Eyes","Oval"
170,"Baby Blue Eyes","Sport"
171,"Baby Pink","Cat Eye"
172,"Baby Pink","Aviator"
173,"Baby Pink","Rimless"
174,"Baby Pink","Oval"
175,"Baby Pink","Sport"
176,"Ball Blue","Cat Eye"
177,"Ball Blue","Aviator"
178,"Ball Blue","Rimless"
179,"Ball Blue","Oval"
180,"Ball Blue","Sport"
181,"Banana Mania","Cat Eye"
182,"Banana Mania","Aviator"
183,"Banana Mania","Rimless"
184,"Banana Mania","Oval"
185,"Banana Mania","Sport"
186,"Banana Yellow","Cat Eye"
187,"Banana Yellow","Aviator"
188,"Banana Yellow","Rimless"
189,"Banana Yellow","Oval"
190,"Banana Yellow","Sport"
191,"Barn Red","Cat Eye"
192,"Barn Red","Aviator"
193,"Barn Red","Rimless"
194,"Barn Red","Oval"
195,"Barn Red","Sport"
196,"Battleship Grey","Cat Eye"
197,"Battleship Grey","Aviator"
198,"Battleship Grey","Rimless"
199,"Battleship Grey","Oval"
200,"Battleship Grey","Sport"
201,"Bazaar","Cat Eye"
202,"Bazaar","Aviator"
203,"Bazaar","Rimless"
