"InventoryID","quantity","Products_T_ProductID"
1,253,1
2,813,2
3,1979,3
4,450,4
5,719,5
6,210,6
7,1281,7
8,1341,8
9,1654,9
10,1499,10
11,1699,11
12,1894,12
13,1514,13
14,1800,14
15,2012,15
16,1381,16
17,1629,17
18,591,18
19,981,19
20,1624,20
21,103,21
22,1439,22
23,1557,23
24,40,24
25,876,25
26,702,26
27,1268,27
28,743,28
29,1246,29
30,978,30
31,114,31
32,819,32
33,1159,33
34,1061,34
35,1737,35
36,340,36
37,1973,37
38,240,38
39,1098,39
40,464,40
41,495,41
42,124,42
43,369,43
44,1244,44
45,1307,45
46,668,46
47,1900,47
48,26,48
49,34,49
50,757,50
51,1375,51
52,52,52
53,398,53
54,1517,54
55,1866,55
56,1554,56
57,1515,57
58,563,58
59,647,59
60,1830,60
61,1466,61
62,690,62
63,67,63
64,1745,64
65,881,65
66,1981,66
67,1485,67
68,1719,68
69,232,69
70,1389,70
71,1625,71
72,896,72
73,1516,73
74,1547,74
75,1626,75
76,1696,76
77,1217,77
78,1219,78
79,270,79
80,1722,80
81,1022,81
82,401,82
83,1224,83
84,1334,84
85,124,85
86,369,86
87,99,87
88,1976,88
89,971,89
90,1821,90
91,759,91
92,532,92
93,1147,93
94,879,94
95,527,95
96,541,96
97,983,97
98,382,98
99,1333,99
100,107,100
101,1350,101
102,878,102
103,1111,103
104,428,104
105,819,105
106,1671,106
107,104,107
108,71,108
109,679,109
110,1249,110
111,755,111
112,1050,112
113,1188,113
114,321,114
115,34,115
116,178,116
117,1770,117
118,213,118
119,1500,119
120,1078,120
121,563,121
122,878,122
123,1886,123
124,163,124
125,217,125
126,1486,126
127,1990,127
128,1787,128
129,1445,129
130,147,130
131,554,131
132,311,132
133,2000,133
134,1462,134
135,344,135
136,1267,136
137,1372,137
138,780,138
139,828,139
140,1165,140
141,1877,141
142,431,142
143,1474,143
144,859,144
145,1534,145
146,1498,146
147,488,147
148,880,148
149,1813,149
150,1142,150
151,596,151
152,1091,152
153,635,153
154,1996,154
155,1983,155
156,1486,156
157,1893,157
158,1904,158
159,187,159
160,1187,160
161,760,161
162,110,162
163,2009,163
164,521,164
165,382,165
166,78,166
167,1776,167
168,112,168
169,102,169
170,1775,170
171,303,171
172,853,172
173,850,173
174,1765,174
175,968,175
176,533,176
177,1614,177
178,177,178
179,1961,179
180,6,180
181,1757,181
182,1417,182
183,668,183
184,1288,184
185,1326,185
186,1427,186
187,1431,187
188,1442,188
189,452,189
190,835,190
191,533,191
192,1567,192
193,1284,193
194,580,194
195,1076,195
196,942,196
197,1185,197
198,1265,198
199,2005,199
200,1071,200
201,1463,201
202,562,202
203,357,203
204,237,204
205,797,205
206,1851,206
207,1820,207
208,833,208
209,1611,209
210,463,210
211,829,211
212,1922,212
213,364,213
214,140,214
215,1991,215
216,1758,216
217,1520,217
218,352,218
219,941,219
220,471,220
221,1900,221
222,1097,222
223,1048,223
224,1902,224
225,568,225
226,1074,226
227,1876,227
228,1128,228
229,325,229
230,1188,230
231,1971,231
232,294,232
233,1121,233
234,878,234
235,1163,235
236,1853,236
237,1300,237
238,766,238
239,149,239
240,1667,240
241,1942,241
242,1780,242
243,1296,243
244,693,244
245,870,245
246,1712,246
247,1658,247
248,1462,248
249,1786,249
250,1308,250
251,1414,251
252,1804,252
253,323,253
254,1444,254
255,1486,255
256,1990,256
257,1076,257
258,1890,258
259,1557,259
260,636,260
261,588,261
262,963,262
263,1969,263
264,1371,264
265,457,265
266,119,266
267,430,267
268,1529,268
269,1844,269
270,1842,270
271,1561,271
272,533,272
273,1790,273
274,87,274
275,356,275
276,700,276
277,1027,277
278,680,278
279,1878,279
280,1754,280
281,1395,281
282,1401,282
283,1973,283
284,1283,284
285,163,285
286,954,286
287,1071,287
288,74,288
289,1207,289
290,713,290
291,1368,291
292,470,292
293,1094,293
294,1953,294
295,1822,295
296,2006,296
297,668,297
298,239,298
299,1125,299
300,1438,300
